feature,gain
ret_1,18294.62109375
rsi14,1850.221435546875
CLOSE,419.7007141113281
atr_pct,256.3246154785156
ma5_slope,109.16791534423828
ret_2,109.02176666259766
ma5_ma20_diff,94.65339660644531
ma5,92.53407287597656
ret_3,34.93435287475586
atr14,23.119985580444336
ma20,15.001069068908691
ma10,13.573923110961914
std10,10.255958557128906
vol_mean20,8.037940979003906
vol_std20,7.941318988800049
vol_zscore,7.907914638519287
