Symbol,Liquidity
HINDUNILVR,3325260518.265469
HINDZINC,1396025772.0659912
HOMEFIRST,344737672.12013674
HONASA,193962666.94666502
HONAUT,131228122.8
HSCL,161228080.52817628
HUDCO,2073480033.1547098
HYUNDAI,1963459567.9072266
ICICIBANK,13555488394.56
ICICIGI,1256845002.0855029
ICICIPRULI,506319157.4246826
IDBI,1929907609.3593543
IDEA,7910778321.6
IDFCFIRSTB,1720654372.6213298
IEX,1206054182.845166
IFCI,207866945.65798095
IGIL,792650649.0120703
IGL,483975577.5743238
IIFL,780833108.3337891
IKS,184625281.30541992
INDGN,107488009.74792115
INDHOTEL,2321388300.739541
INDIACEM,249654495.85747072
INDIAMART,368490566.7817383
INDIANB,1318618916.17
INDIGO,3640381600.0
INDUSINDBK,3498323765.4866557
INDUSTOWER,1817655534.718948
INFY,13097653080.057104
INOXINDIA,290324084.43825686
INOXWIND,2161388877.8331423
INTELLECT,1359681605.8796093
IOB,386219580.41349727
IOC,2036261304.5407739
IPCALAB,628359505.4591211
IRB,1157869244.62
IRCON,637228873.1392108
IRCTC,591962053.77
IREDA,631649064.1640642
IRFC,688988814.8700256
ITC,2914879782.9267297
ITCHOTELS,404013181.640625
ITI,97776572.55144288
J&KBANK,0.0
JBCHEPHARM,309313564.33062506
JBMA,94988273.26200439
JINDALSAW,165890356.87104005
JINDALSTEL,1117387899.1294236
JIOFIN,2294402066.901709
JKCEMENT,590476951.6
JKTYRE,324253119.59999996
JMFINANCIL,464289481.1140137
JPPOWER,6574872279.905334
JSL,324600886.8703125
JSWENERGY,1630088593.770044
JSWINFRA,437039017.8311316
JSWSTEEL,1277057357.2166307
JUBLFOOD,1228622053.997373
JUBLINGREA,253977875.59498045
JUBLPHARMA,217499513.60000002
JWL,170416338.86183596
JYOTHYLAB,57630610.86532471
JYOTICNC,714571677.1511596
KAJARIACER,129207950.48
KALYANKJIL,1014226715.5491675
KARURVYSYA,327484221.0233423
KAYNES,6006401094.92
KEC,2463725860.8929496
KEI,621548231.7108594
KFINTECH,523214377.59999996
KIMS,196751644.28191406
KIRLOSBROS,56288915.279999994
KIRLOSENG,781477634.0299512
KOTAKBANK,10388846947.222675
KPIL,238719765.84907717
KPITTECH,867474115.1645117
KPRMILL,428095962.7595703
KSB,35149403.413037114
LALPATHLAB,460743303.0924023
LATENTVIEW,635512541.9506018
LAURUSLABS,1735366975.1495726
LEMONTREE,321172969.42448425
LICHSGFIN,470148933.76479495
LICI,1110524072.7685547
LINDEINDIA,561997636.0
LLOYDSME,377931109.37999994
LODHA,1186962823.0817578
LT,5295006527.430937
LTF,1711721503.3355494
LTFOODS,186683035.75294802
LTIM,2047811765.9999998
LTTS,1334490168.8703125
